№ п/п,Название администрации,Адрес,Руководитель администрации,Телефон,Факс,Электронная почта,Сайт,ИНН,Часы приема главы администрации
1,Администрация Адмиралтейского района Санкт-Петерб…,"г.Санкт-Петербург, Измайловский проспект, дом 10, литера А",Штукова Светлана Викторовна,576-97-97,316-08-29,glava@tuadm.gov.spb.ru,http://gov.spb.ru/gov/terr/reg_admiral/,7809029013,Понедельник 16.00-18.00
2,Администрация Василеостровского района Санкт-Петер…,"г.Санкт-Петербург, Большой проспект В.О., дом 55, литера А",Королева Галина Евгеньевна,576-93-71,321-33-15,tuvo@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_vasileostr/,7801042446,1 раз в месяц 15:00 – 17:00 (в соответствии с графиком)
3,Администрация Выборгского района Санкт-Петербурга,"г.Санкт-Петербург, Большой Сампсониевский проспект, дом 86, литера А",Гарнец Валерий Николаевич,576-56-09,596-31-51,tuvyb@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_viborg/,7802047944,1 понедельник 16.00 - 18.00
4,Администрация Калининского района Санкт-Петербурга,"г.Санкт-Петербург, Арсенальная набережная, дом 13/1, литера А",Моторин Евгений Александрович,576-99-00,576-99-60,head@tukalin.gov.spb.ru,http://gov.spb.ru/gov/terr/reg_kalinin,7804042349,"1,3 среда 10.00-12.00"
5,Администрация Кировского района Санкт-Петербурга,"г.Санкт-Петербург, проспект Стачек, дом 18, литера А",Иванов Сергей Владимирович,252-72-60,252-01-83,tukir@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_kirovsk www.kirnews.ru,7805059546,"1, 2, 3, 4 среда 15.00 - 18.00 (ФЛ) 1,2,3,4 понедельник 1…"
6,Администрация Колпинского района Санкт-Петербурга,"Санкт-Петербург, город Колпино, улица Урицкого, дом 1/4, литера А",Повелий Анатолий Анатольевич,576-96-67,576-96-94,tukolp@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_kolpino www. newskolpino.…,7817006891,Пятница 9.30-11.30
7,Администрация Красногвардейского района Санкт-Пете…,"г.Санкт-Петербург, Среднеохтинский проспект, дом 50, литера А",Панкевич Виктор Николаевич,576-86-00,576-87-63,head@tukrgv.gov.spb.ru,http://gov.spb.ru/gov/terr/krasnogvard/,7806042263,"1,3 среда с 16.00"
8,Администрация Красносельского района Санкт-Петербу…,"г.Санкт-Петербург, улица Партизана Германа, дом 3, литера А",Никольский Евгений Владимирович,736-86-06,736-88-88,tukrsl@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_krasnoselsk,7807018464,1 среда 10.00 - 12.00 3 среда
9,Администрация Кронштадтского района Санкт-Петербу…,"Санкт-Петербург, город Кронштадт, проспект Ленина, дом 36, литера А",Пониделко Василий Анатольевич,576-90-00,576-90-06,tukrns@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_kronsht/ http://news-kron.ru,7818003903,"2, 4 среда 15.00 – 16.00"
10,Администрация Курортного района Санкт-Петербурга,"Санкт-Петербург, город Сестрорецк, площадь Свободы, дом 1, литера А",Куимов Алексей Васильевич,561-81-06,573-90-90,tukur@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_kurort,7821007802,"2,4 понедельник 12.00 -14.00"
11,Администрация Московского района Санкт-Петербурга,"г.Санкт-Петербург, Московский проспект, дом 129, литера А",Ушаков Владимир Николаевич,576-88-00,388-91-02,tumos@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_moscow,7810435274,"Среда, 10:00 - 12:00"
12,Администрация Невского района Санкт-Петербурга,"г.Санкт-Петербург, проспект Обуховской Обороны, дом 163, литера А",Серов Константин Николаевич,576-98-32,576-98-31,rnevsky@tunev.gov.spb.ru,http://gov.spb.ru/gov/terr/nevsky/; http://www.spbnevskij…,7811020096,"2 среда, 10.00 - 13.00"
13,Администрация Петроградского района Санкт-Петербу…,"г.Санкт-Петербург, Большая Монетная улица, дом 17-19, литера К",Гладунов Юрий Николаевич,232-83-61,232-60-39,tupetr@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_petrograd/,7813047833,По средам раз в две недели по предварительной записи
14,Администрация Петродворцового района Санкт-Петерб…,"Санкт-Петербург, город Петергоф, Калининская улица, дом 7, литера А",Дмитрий Александрович Попов,450-74-20,450-65-18,tuptrdv@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_petrodv/ http://pd-news.ru,7819000990,"1,3 четверг 16.00-18.00"
15,Администрация Приморского района Санкт-Петербурга,"г.Санкт-Петербург, улица Савушкина, дом 83, литера А",Цед Николай Григорьевич,576-82-82,430-09-15,ced@tuprim.gov.spb.ru,http://gov.spb.ru/gov/terr/reg_primorsk www.rprim.spb.ru,7814002313,"1, 3 понедельник 14.00 - 16.00 (ФЛ) 4 среда 10.00-12.00…"
16,Администрация Пушкинского района Санкт-Петербурга,"Санкт-Петербург, город Пушкин, Октябрьский бульвар, дом 24, литера А",Бондаренко Николай Леонидович,417-44-47,466-24-12,tupush@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_pushkin/,7820033454,"2 (ФЛ), 4 (ЮЛ) среда 10.00 -12.00"
17,Администрация Фрунзенского района Санкт-Петербурга,"г.Санкт-Петербург, Пражская улица, дом 46, литера А",Омельницкий Владимир Владимирович,576-84-01,576-84-39,frunsreg@tufruns.gov.spb.ru,www.gov.spb.ru/gov/admin/terr/r_frunz,7816053440,"2, 4 среда с 15.00"
18,Администрация Центрального района Санкт-Петербурга,"г.Санкт-Петербург, Невский проспект, дом 176, литера А",Щербакова Мария Дмитриевна,274-24-41,274-22-26,tucentr@gov.spb.ru,http://gov.spb.ru/gov/terr/reg_center/,7825660628,"2, 4 среда, 16.00-18.00"
